"Country","Pluralism","FunctioningOfGovernment","PoliticalParticipation","PoliticalCulture"
"Norway",10,9.64,10,10
"Iceland",10,9.29,8.89,10
"Sweden",9.58,9.64,8.33,10
"New Zealand",10,9.29,8.89,8.13
"Finland",10,8.93,8.89,8.75
"Ireland",10,7.86,8.33,10
"Denmark",10,9.29,8.33,9.38
"Canada",9.58,9.64,7.78,9.38
"Australia",10,8.93,7.78,8.75
"Switzerland",9.58,9.29,7.78,9.38
"Netherlands",9.58,9.29,8.33,8.75
"Luxembourg",10,8.93,6.67,8.75
"Germany",9.58,8.57,8.33,7.5
"United Kingdom",9.58,7.5,8.89,7.5
"Uruguay",10,8.57,6.11,7.5
"Austria",9.58,7.86,8.33,6.88
"Spain",9.58,7.14,7.78,8.13
"Mauritius",9.17,8.21,5.56,8.75
"Costa Rica",9.58,7.5,6.67,7.5
"France",9.58,7.86,7.78,6.88
"Chile",9.58,8.57,5,8.13
"Portugal",9.58,7.86,6.11,7.5
"South Korea",9.17,7.86,7.22,7.5
"Japan",8.75,8.21,6.67,7.5
"United States",9.17,7.14,7.78,7.5
"Malta",9.17,7.5,6.11,8.13
"Estonia",9.58,7.86,6.67,6.88
"Israel",9.17,7.86,8.89,7.5
"Botswana",9.17,7.14,6.11,7.5
"Cape Verde",9.17,7.36,6.67,6.88
"Taiwan",9.58,8.21,6.11,5.63
"Czech Republic",9.58,6.79,6.67,6.88
"Belgium",9.58,8.21,5,6.88
"Cyprus",9.17,6.43,6.67,6.88
"Italy",9.58,6.07,7.78,6.25
"Slovenia",9.58,6.79,6.67,6.25
"Lithuania",9.58,6.43,6.11,6.25
"Latvia",9.58,6.07,6.11,6.88
"Greece",9.58,4.86,6.67,7.5
"South Africa",7.42,7.5,8.33,5
"Timor-Leste",9.58,6.29,5.56,6.88
"Slovakia",9.58,7.14,5.56,5.63
"Malaysia",9.17,7.86,6.67,6.25
"Trinidad and Tobago",9.58,7.14,6.11,5.63
"Colombia",9.17,6.79,5.56,5.63
"Panama",9.58,6.07,6.67,5
"Bulgaria",9.17,6.43,7.22,4.38
"Argentina",9.17,5.36,6.11,6.25
"Suriname",9.17,6.43,6.67,5
"Jamaica",8.75,7.14,4.44,6.25
"India",8.67,6.79,6.67,5.63
"Brazil",9.58,5.36,6.11,5
"Tunisia",9.17,5.71,7.22,5.63
"Philippines",9.17,5.36,7.22,4.38
"Ghana",8.33,5.71,6.67,6.25
"Hungary",8.75,6.07,5,6.25
"Poland",9.17,6.07,6.11,4.38
"Peru",9.17,5,5.56,5.63
"Croatia",9.17,6.07,5.56,5
"Dominican Republic",9.17,5.36,6.11,5
"Lesotho",9.17,4.5,6.67,5.63
"Mongolia",9.17,5.71,5.56,5
"Romania",9.17,5.71,5.56,4.38
"Indonesia",7.92,7.14,6.11,5.63
"Namibia",6.58,5.36,6.67,5.63
"Serbia",8.25,5.36,6.11,5
"Ecuador",8.75,5.36,6.11,4.38
"Thailand",7.42,5.36,6.11,6.25
"Sri Lanka",7,6.07,5.56,6.25
"Paraguay",8.75,5.71,5,4.38
"El Salvador",9.17,4.64,6.11,3.75
"Guyana",6.92,5.36,6.11,5
"Mexico",7.83,6.07,7.22,3.13
"Papua New Guinea",6.92,6.07,3.89,5.63
"Hong Kong",3.58,4.36,6.11,7.5
"Singapore",3.92,7.86,5,6.25
"North Macedonia",7,5.36,6.67,3.75
"Ukraine",7.42,2.71,6.67,6.25
"Albania",7,5.36,4.44,5
"Bangladesh",7.83,6.07,6.11,4.38
"Fiji",6.58,5.36,6.11,5.63
"Senegal",6.08,6.07,4.44,6.25
"Moldova",6.58,4.64,6.11,4.38
"Montenegro",5.67,5.36,6.11,4.38
"Madagascar",7.92,3.57,6.11,5.63
"Armenia",7.5,5.36,6.11,3.13
"Malawi",6.08,4.29,5,6.25
"Liberia",7.42,3.07,5.56,5.63
"Georgia",7.83,3.21,6.11,4.38
"Honduras",7.83,4.29,4.44,4.38
"Bhutan",8.75,6.79,2.78,4.38
"Nepal",4.83,5.36,5,5.63
"Guatemala",6.92,4.64,3.89,4.38
"Kenya",3.5,5.71,6.67,5.63
"Tanzania",5.75,5,5,5.63
"Morocco",5.25,4.64,5.56,5.63
"Benin",4.67,5.71,4.44,5.63
"Zambia",4.75,2.93,4.44,6.88
"Uganda",4.33,3.57,4.44,6.88
"Mali",6.42,3.07,3.89,5.63
"Kyrgyzstan",6.08,2.93,6.67,3.75
"Bosnia and Herzegovina",6.17,2.93,5.56,3.75
"Sierra Leone",6.58,2.86,3.33,6.25
"Bolivia",4.75,3.93,5,3.75
"Haiti",4.75,2.07,3.89,6.25
"Lebanon",3.92,1.5,6.67,5
"Gambia",4,4.29,3.33,5.63
"Pakistan",6.08,5.71,2.22,2.5
"Nigeria",5.17,3.93,3.33,3.75
"Turkey",3.08,5,5,5
"Ivory Coast",4.33,2.86,3.33,5.63
"Burkina Faso",3.92,2.71,4.44,5
"Algeria",3.08,2.86,5,5
"Jordan",3.58,4.29,3.89,4.38
"Kuwait",3.58,4.29,3.89,4.38
"Mauritania",3.5,3.57,5,3.13
"Palestine",3.33,0.14,7.78,4.38
"Iraq",5.25,0,6.67,5
"Angola",2.25,2.86,5.56,5
"Mozambique",2.58,2.14,5,5
"Gabon",2.58,2.21,4.44,5
"Myanmar",3.08,3.93,2.78,5.63
"Nicaragua",1.25,2.86,3.89,5.63
"Cambodia",0.83,4.64,3.33,5.63
"Ethiopia",0.42,3.57,5.56,5
"Togo",3.17,1.79,3.33,5
"Niger",2.92,1.14,3.33,4.38
"Qatar",0,4.29,2.22,5.63
"Rwanda",1.42,4.29,2.78,4.38
"Zimbabwe",0,2.5,4.44,5.63
"Comoros",2.08,2.21,3.89,3.75
"Eswatini",0.92,2.86,2.78,5.63
"Guinea",3.5,0.43,4.44,4.38
"Republic of the Congo",2.17,2.5,3.89,3.75
"Russia",2.17,1.79,5,2.5
"Vietnam",0,3.21,3.89,5.63
"Egypt",2.67,3.21,3.33,3.75
"Oman",0.08,3.93,2.78,4.38
"Kazakhstan",0.5,2.14,4.44,4.38
"Venezuela",0,1.79,5,4.38
"Afghanistan",3.42,0.64,3.89,2.5
"Cameroon",1.67,2.5,3.33,4.38
"Cuba",0,3.57,3.33,4.38
"Djibouti",0.42,1.29,3.89,5.63
"United Arab Emirates",0,3.93,2.22,5
"Azerbaijan",0.5,3.21,2.78,3.75
"Sudan",0,1.79,5.56,5
"Guinea-Bissau",4.92,0,2.78,3.13
"Bahrain",0.83,2.71,2.78,4.38
"Belarus",0.92,2,2.78,4.38
"Iran",0,2.86,4.44,3.13
"Eritrea",0,2.14,1.67,6.88
"China",0,4.29,3.33,2.5
"Burundi",0,0.07,3.33,5
"Laos",0,2.86,1.67,5
"Libya",0,0,2.78,4.38
"Uzbekistan",0.08,1.86,2.22,5
"Yemen",0,0,3.89,5
"Saudi Arabia",0,2.86,2.22,3.13
"Tajikistan",0.08,0.79,1.67,6.25
"Equatorial Guinea",0,0.43,3.33,4.38
"Turkmenistan",0,0.79,2.22,5
"Chad",0,0,1.67,3.75
"Syria",0,0,2.78,4.38
"Central African Republic",1.25,0,1.11,1.88
"Democratic Republic of the Congo",0,0,1.67,3.13
"North Korea",0,2.5,1.67,1.25
